Ejecutable Tiempo Speedup Correcto
---------------------------------
1 0.459001 0,882249 1
2 0.427391 0,947500 1
3 0.166896 2,426379 1
4 0.203554 1,989413 1
5 0.250981 1,613481 1
6 0.439460 0,921479 1
7 0.155270 2,608057 1
